PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,475.30619657758405,1,0,4
20,427.7518702266333,2,0,4
20,187.7646375682962,3,0,11
40,8590.990745980142,1,0,6
40,2823.597202604895,2,0,12
40,2915.282542861583,3,0,12
60,10708.305690580559,1,0,4
60,5005.317908093341,2,0,8
60,3974.4232695457526,3,0,12
